Id,Causa,Materia,Argomento,settore,Gruppo,Argomento ori
26,C-.../95,Diritto agrario comunitario,Aiuti all'estensivizzazione carni bovine,agricoltura - carne,3,Aiuti all'estensivizzazione carni bovine
25,C-.../95 P,Concorrenza,Intese prodotti siderurgici,industria - siderurgia,3,Intese prodotti siderurgici
24,T-.../93,Diritto agrario comunitario,Finanziamenti comunitari,agricoltura - foraggi,3,Finanziamenti comunitari foraggi
23,T-.../93,Concorrenza,Aiuti di Stato,industria - cemento,3,Aiuti di Stato cemento
22,C-.../92,Diritto doganale / Importazione da Paesi terzi,Classificazione tariffaria,agricoltura - frutta,3,Classificazione tariffaria ortofruttta
21,C-.../92,Concorrenza,Aiuti di Stato,industria - cemento,3,Aiuti di Stato cemento
20,C-.../91,Diritto agrario comunitario,Aiuti all'estensivizzazione carni bovine,agricoltura - carne,3,Aiuti all'estensivizzazione carni bovine
19,C-.../90,Importazioni da Paesi terzi,Imposta di consumo,agricoltura - banane,3,Imposta di consumo  banane
18,T-.../89,Concorrenza,Intese  prodotti siderurgici,industria - siderurgia,3,Intese  prodotti siderurgici
17,.../88,Libera circolazione delle merci,Misure di salvaguardia,agricoltura - banane,3,Misure di salvaguardia  banane
16,.../85,Libera circolazione delle merci,Imposta di consumo,agricoltura - banane,3,Imposta di consumo  banane
15,.../81,Libera circolazione delle merci,Tassa erariale di sbarco  prodotti petroliferi,industria - petrolio,3,Tassa erariale di sbarco  prodotti petroliferi
14,.../79,Libera circolazione delle merci,Diritti sanitari,agricoltura - carni,3,Diritti sanitari  carni bovine
13,.../77,Diritto agrario comunitario,Importi compensativi monetari,agricoltura - ,3,Importi compensativi monetari
12,.../76,Diritto agrario comunitario,Esportazioni di zucchero verso Paesi terzi,agricoltura - zucchero,3,Esportazioni di zucchero verso Paesi terzi
11,.../76,Libera circolazione dei lavoratori,Calciatori professionisti,sport - calcio,3,Calciatori professionisti
10,.../75,Diritto agrario comunitario / Libera circolazione delle merci,Prezzi dello zucchero,agricoltura - zucchero,3,Prezzi dello zucchero
9,.../84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio
8,.../84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio
7,.../84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio
6,.../77,Funzione pubblica,Statuto dei funzionari europei, - ,2,Statuto dei funzionari europei
5,.../73,Libera circolazione delle merci,Tassa erariale di sbarco,agricoltura - cereali,1,Tassa erariale di sbarco - cereali
4,.../72,Libera circolazione delle merci,Diritti sanitari,agricoltura - carni,1,Diritti sanitari - carni bovine
3,.../71,Libera circolazione delle merci,Monopoli,agricoltura - latte,1,Monopoli - centrali del latte
2,.../71,Libera circolazione delle merci,Restrizioni quantitative,agricoltura - frutta,1,Restrizioni quantitative - ortofrutta
1,.../71,Libera circolazione delle merci,Restrizioni quantitative,agricoltura - frutta,1,Restrizioni quantitative - ortofrutta
